experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
2,21.402277218622697,0.8759828974805319,0.9923879336206665,52.71111111111111,800,5000,"[0.04, 0.04, 0.04, 1.62, 8.32, 17.77, 29.33, 45.51, 63.41, 80.28, 96.96, 114.28, 130.55, 137.44, 136.45, 135.86, 135.23, 131.56, 125.82, 115.58, 102.89, 93.24, 94.55, 105.95, 112.6, 112.1, 112.1, 112.02, 111.89, 111.15, 109.37, 106.14, 104.28, 95.99, 83.7, 84.38, 97.18, 105.55, 105.52, 105.53, 105.54, 105.55, 104.89, 103.96, 103.29, 102.88, 102.56, 102.57, 102.58, 101.92]",90
4,16.831814192183845,0.3614428338907014,0.8286485436666156,37.38888888888889,1000,5000,"[1.27, 1.28, 1.29, 1.3, 1.56, 5.82, 11.77, 23.69, 39.62, 52.4, 64.48, 77.76, 93.74, 110.43, 121.29, 123.34, 123.65, 122.21, 120.04, 118.63, 118.57, 118.56, 118.55, 118.54, 118.54, 118.42, 117.8, 116.96, 116.16, 115.38, 114.57, 114.09, 113.97, 113.96, 113.95, 113.94, 113.71, 112.45, 109.46, 106.86, 97.41, 83.01, 78.76, 89.35, 102.73, 104.26, 92.44, 78.94, 80.58, 94.7]",90
6,1.001715034216664,0.3688151834885214,0.10766811557418132,96.39999999999999,500,5000,"[-1.24, 2.42, 12.32, 26.09, 41.99, 58.8, 76.16, 93.39, 109.98, 126.37, 141.53, 154.79, 165.67, 173.53, 176.76, 175.44, 169.14, 158.98, 146.15, 131.53, 115.54, 98.97, 82.74, 67.18, 52.08, 38.28, 26.52, 17.33, 11.63, 10.65, 13.69, 20.79, 31.43, 44.72, 59.65, 75.05, 90.48, 105.9, 120.94, 134.5, 146.04, 155.37, 161.5, 163.43, 161.99, 156.35, 147.45, 135.63, 122.28, 107.58]",90
8,1.0121393060790576,0.750935241786703,0.026240812116561707,266.44444444444446,600,5000,"[0.04, 4.06, 16.84, 31.42, 42.98, 52.33, 60.67, 69.29, 78.33, 88.09, 98.15, 107.65, 115.84, 122.11, 133.87, 151.09, 168.71, -175.28, -161.15, -148.73, -135.73, -121.47, -106.28, -89.55, -72.8, -56.28, -40.48, -22.85, -5.43, 9.75, 25.01, 41.34, 58.81, 77.01, 95.35, 113.49, 130.71, 147.28, 161.6, 176.34, 192.55, 207.62, 222.86, 238.85, 254.96, 271.44, 287.17, 302.69, 315.87, 329.8]",90
10,24.99820431951352,0.7946581482365374,0.0031699251873106293,25.611111111111107,500,1800,"[3.29, 8.62, 19.16, 31.5, 45.56, 60.22, 76.72, 94.64, 111.76, 113.05, 100.13, 89.58, 81.99, 85.24, 97.2, 108.99, 108.93, 95.95, 87.54, 87.59, 87.59, 87.59, 87.6, 87.6, 87.6, 87.61, 87.61, 87.61, 87.62, 87.62, 87.62, 87.62, 87.63, 87.63, 87.63, 87.64, 87.64, 87.64, 87.64, 87.65, 87.65, 87.82, 88.66, 89.47, 89.64, 89.64, 89.64, 89.65, 89.65, 89.65]",90
12,24.88029267785663,0.05751813674241957,0.9699877571868994,31.499999999999993,800,5000,"[-0.39, -0.39, 5.91, 16.92, 26.03, 32.99, 41.95, 55.55, 70.65, 86.84, 103.82, 115.6, 118.35, 112.16, 102.79, 96.24, 89.46, 82.78, 87.19, 98.63, 99.28, 87.07, 78.33, 78.3, 78.73, 78.94, 79.08, 79.11, 79.11, 79.11, 79.12, 79.12, 79.13, 79.13, 79.13, 79.13, 79.14, 79.14, 79.14, 79.15, 79.15, 79.15, 79.16, 79.16, 79.16, 79.16, 79.17, 79.18, 79.18, 79.19]",90
14,24.584172056178495,0.9671553548007159,0.13005774441102214,33.777777777777786,500,5000,"[0.26, 8.65, 23.65, 37.27, 48.0, 57.19, 66.78, 79.26, 93.4, 106.57, 116.16, 120.4, 116.44, 106.0, 94.37, 91.92, 104.52, 114.19, 112.03, 106.15, 95.57, 86.04, 83.3, 83.95, 88.87, 99.86, 112.12, 115.13, 105.92, 90.12, 82.51, 85.08, 95.73, 110.75, 116.38, 114.36, 113.9, 113.9, 113.89, 113.88, 113.59, 111.23, 106.69, 96.79, 80.95, 74.43, 78.43, 87.62, 100.78, 109.11]",90
16,11.987478340125177,0.28920072830630794,0.03436108871461485,36.233333333333334,900,5000,"[2.73, 2.73, 3.21, 5.54, 10.09, 15.14, 18.52, 29.15, 45.91, 63.34, 80.1, 93.66, 106.99, 120.47, 122.61, 111.6, 97.93, 90.51, 95.63, 106.3, 115.81, 116.29, 107.08, 95.54, 89.66, 94.12, 103.05, 111.03, 111.99, 105.25, 96.45, 91.15, 92.36, 98.52, 104.99, 107.48, 105.45, 99.87, 94.92, 93.59, 94.58, 97.14, 98.66, 98.71, 98.71, 98.72, 98.72, 98.73, 98.73, 98.73]",90
18,24.97422092242371,0.8046119658092661,0.010567650669433085,39.49999999999999,700,5000,"[-2.5, -2.06, 2.71, 11.19, 22.48, 37.81, 54.22, 72.48, 90.74, 107.16, 121.78, 125.55, 121.6, 113.49, 101.75, 93.29, 97.37, 110.46, 109.41, 94.79, 89.25, 93.16, 100.0, 109.39, 104.04, 88.78, 89.01, 104.88, 111.84, 107.56, 95.31, 82.85, 79.81, 87.11, 101.74, 111.67, 109.88, 104.55, 94.03, 82.56, 77.43, 82.34, 93.29, 103.2, 103.28, 91.39, 84.03, 84.17, 84.17, 84.17]",90
20,23.743146630235977,0.7163277008875947,0.6058691947289142,36.84444444444444,900,5000,"[-2.16, -2.16, -2.16, -1.04, 3.73, 10.56, 21.03, 37.45, 55.05, 71.51, 86.62, 101.14, 116.65, 123.16, 118.29, 107.51, 95.32, 89.17, 92.62, 103.1, 114.57, 115.7, 103.37, 92.46, 90.5, 93.76, 99.13, 106.2, 113.04, 107.68, 94.71, 95.84, 110.05, 113.3, 106.01, 98.88, 94.69, 99.23, 108.43, 106.87, 94.86, 90.19, 100.03, 112.41, 117.68, 111.75, 99.6, 89.0, 88.08, 98.78]",90
