experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
2,25.0,1.0,0.001,47.84444444444445,600,5000,"[-0.26, -0.25, 2.96, 12.36, 27.07, 45.46, 62.28, 77.05, 90.92, 106.36, 123.89, 133.06, 131.52, 125.75, 119.06, 112.48, 105.35, 99.29, 94.11, 96.16, 105.11, 109.12, 107.42, 102.39, 93.89, 89.96, 97.71, 108.42, 114.62, 113.8, 106.24, 97.62, 90.21, 86.42, 92.51, 102.22, 104.18, 98.39, 91.98, 85.54, 86.69, 96.83, 103.85, 104.79, 103.82, 101.4, 99.46, 94.59, 86.16, 81.04]",90
4,6.759246961440856,0.5923661604938815,0.4094238105829684,54.500000000000014,500,1700,"[0.04, 5.54, 19.22, 34.11, 47.27, 62.13, 80.32, 96.74, 112.28, 128.59, 138.87, 139.05, 133.04, 124.59, 115.46, 106.87, 99.29, 93.31, 89.52, 88.59, 89.13, 90.43, 91.69, 92.68, 93.18, 93.17, 93.16, 93.16, 93.16, 93.16, 93.16, 93.16, 93.16, 93.16, 93.16, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.17, 93.16, 93.17, 93.16, 93.16, 93.16, 93.16, 93.16]",90
6,20.62065914614346,0.38318059839554264,0.5534501542440662,51.24444444444445,500,5000,"[-0.09, 4.09, 12.56, 22.23, 37.59, 56.88, 75.51, 93.17, 110.9, 125.3, 133.8, 135.87, 136.12, 134.46, 131.81, 129.69, 124.66, 114.95, 105.37, 96.18, 88.1, 81.99, 84.86, 97.06, 103.6, 103.3, 102.86, 97.91, 89.02, 80.75, 82.96, 95.87, 105.1, 106.34, 105.2, 102.3, 99.71, 95.33, 88.24, 81.65, 82.39, 92.05, 99.87, 98.08, 90.5, 82.43, 81.18, 89.85, 99.2, 100.06]",90
8,1.013116894611425,0.015332709994027027,0.6936275386880202,-100000.0,900,5000,"[0.05, 4.69, 14.83, 24.71, 33.75, 41.52, 47.96, 53.02, 56.26, 57.66, 57.84, 57.84, 57.84, 57.84, 57.84, 57.84, 57.84, 57.84, 57.84, 57.83, 57.83, 57.83, 57.83, 57.83, 57.82, 57.82, 57.82, 57.82, 57.82, 57.82, 57.81, 57.81, 57.81, 57.81, 57.81, 57.81, 57.81, 57.81, 57.8, 57.8, 57.8, 57.8, 57.8, 57.8, 57.8, 57.8, 57.8, 57.8, 57.8, 57.8]",90
10,8.263668071483973,0.8945906407517749,0.46378341042444626,70.03333333333333,600,3600,"[0.08, 1.49, 6.99, 17.34, 30.82, 43.7, 61.01, 81.58, 101.14, 120.43, 137.6, 151.23, 153.03, 148.32, 144.36, 141.01, 137.86, 134.66, 130.93, 126.37, 121.04, 115.6, 110.62, 106.72, 104.12, 102.87, 102.74, 102.73, 102.73, 102.72, 102.72, 102.62, 101.77, 99.99, 97.7, 95.34, 93.35, 92.01, 91.68, 91.68, 91.68, 91.68, 91.68, 91.67, 91.67, 91.67, 91.67, 91.67, 91.66, 91.66]",90
12,6.163849220162442,0.9915318339524807,0.9732918388707816,67.13333333333333,500,2400,"[0.15, 7.04, 22.92, 39.69, 55.62, 68.54, 82.39, 99.51, 115.07, 129.57, 143.68, 150.42, 147.24, 138.84, 128.59, 118.36, 108.54, 99.29, 90.72, 83.54, 78.16, 76.06, 78.1, 82.7, 87.72, 90.97, 91.58, 91.58, 91.57, 91.57, 91.57, 91.57, 91.57, 91.57, 91.57, 91.57, 91.57, 91.56, 91.56, 91.56, 91.56, 91.56, 91.56, 91.56, 91.56, 91.55, 91.55, 91.55, 91.55, 91.54]",90
14,5.6116954945528,0.06111090448967893,0.020923371238682487,32.57777777777777,400,1300,"[0.15, 10.84, 31.15, 50.47, 69.83, 89.67, 107.03, 118.09, 119.32, 114.96, 108.34, 101.84, 96.31, 92.06, 89.38, 88.31, 88.31, 88.32, 88.33, 88.33, 88.34, 88.34, 88.35, 88.35, 88.36, 88.36, 88.37, 88.38, 88.38, 88.39, 88.39, 88.4, 88.4, 88.41, 88.42, 88.42, 88.43, 88.43, 88.43, 88.44, 88.44, 88.45, 88.46, 88.46, 88.46, 88.47, 88.48, 88.49, 88.49, 88.5]",90
16,14.209985271706113,0.057634517922376616,0.004803311955009493,32.07777777777778,400,2200,"[0.02, 9.16, 26.56, 44.18, 61.51, 79.16, 96.84, 110.67, 116.87, 118.87, 115.85, 111.01, 106.84, 102.06, 94.66, 87.37, 82.43, 83.23, 90.08, 96.86, 99.2, 97.01, 92.88, 89.36, 87.42, 87.12, 87.61, 87.92, 87.92, 87.92, 87.92, 87.92, 87.92, 87.92, 87.91, 87.91, 87.91, 87.91, 87.9, 87.9, 87.9, 87.9, 87.9, 87.9, 87.89, 87.89, 87.89, 87.89, 87.89, 87.89]",90
18,16.147404064256563,0.9162378603444932,0.9876234993696458,56.65555555555557,800,3400,"[0.18, 0.9, 2.92, 7.49, 15.28, 23.11, 35.2, 51.3, 66.22, 81.4, 97.65, 115.23, 132.64, 140.99, 137.96, 133.51, 128.73, 124.69, 118.57, 109.38, 100.68, 97.28, 103.21, 111.41, 113.75, 109.15, 101.61, 94.77, 93.09, 98.54, 104.58, 105.87, 102.52, 98.1, 94.47, 93.04, 93.32, 93.76, 93.9, 93.9, 93.9, 93.9, 93.9, 93.91, 93.91, 93.91, 93.91, 93.91, 93.91, 93.92]",90
20,12.208140147223531,0.003457509589818164,0.8298027835379809,19.688888888888886,600,1900,"[0.01, 3.9, 10.62, 20.47, 34.52, 48.6, 66.57, 85.2, 100.12, 107.72, 104.64, 97.24, 89.26, 82.88, 81.21, 86.52, 92.83, 96.3, 96.13, 94.08, 91.91, 90.68, 90.61, 90.61, 90.61, 90.6, 90.6, 90.6, 90.59, 90.59, 90.59, 90.58, 90.58, 90.58, 90.57, 90.57, 90.57, 90.56, 90.56, 90.55, 90.55, 90.55, 90.55, 90.55, 90.54, 90.54, 90.54, 90.54, 90.54, 90.54]",90
