experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
2,25.0,0.001,1.0,24.844444444444445,800,5000,"[0.12, 0.12, 5.55, 16.89, 25.74, 32.47, 41.28, 55.1, 70.45, 87.08, 104.6, 112.36, 110.61, 100.03, 81.04, 76.88, 88.39, 98.22, 95.88, 82.65, 80.7, 95.01, 102.59, 99.11, 89.17, 75.26, 70.15, 80.19, 98.5, 102.85, 92.36, 84.29, 83.79, 93.17, 100.09, 100.0, 92.24, 78.23, 68.61, 64.17, 65.85, 72.97, 83.73, 98.04, 99.72, 84.67, 77.31, 80.83, 90.92, 105.5]",90
4,1.0424598912993392,0.06285800575546341,0.916076457404377,-100000.0,600,5000,"[-0.17, 6.17, 18.52, 30.13, 40.82, 50.16, 58.13, 64.7, 69.87, 73.67, 76.17, 77.43, 77.69, 77.69, 77.69, 77.69, 77.69, 77.69, 77.69, 77.69, 77.7, 77.7, 77.7, 77.7, 77.7, 77.71, 77.71, 77.71, 77.71, 77.71, 77.71, 77.71, 77.72, 77.85, 77.86, 77.87, 77.87, 77.87, 77.87, 77.87, 77.88, 77.88, 77.88, 77.88, 77.88, 77.89, 77.89, 77.95, 78.78, 81.02]",90
6,19.770474684460645,0.6965279547304777,0.723865156824014,43.066666666666656,600,4900,"[-0.05, 2.86, 8.67, 21.59, 38.73, 56.63, 76.97, 95.44, 113.41, 117.71, 109.75, 101.12, 92.49, 96.22, 109.78, 112.85, 99.33, 84.14, 75.75, 82.75, 99.65, 114.2, 124.13, 128.76, 127.88, 121.21, 114.2, 105.87, 90.84, 79.29, 77.35, 77.69, 81.01, 94.52, 113.62, 120.41, 117.08, 105.98, 90.18, 79.28, 84.44, 101.75, 105.06, 95.98, 88.25, 82.91, 86.98, 98.09, 100.21, 89.1]",90
8,19.729798803672914,0.663896013027416,0.7358973934403839,51.46666666666666,1100,5000,"[0.0, 1.53, 6.05, 9.26, 9.84, 10.23, 12.86, 19.7, 27.22, 36.43, 47.81, 57.26, 69.11, 85.67, 103.66, 119.87, 131.58, 136.32, 131.82, 120.12, 107.0, 100.83, 111.7, 126.65, 133.95, 124.28, 107.12, 92.93, 83.31, 85.91, 99.3, 114.44, 118.36, 110.9, 102.97, 95.59, 98.11, 108.35, 112.0, 102.09, 88.54, 91.58, 109.89, 116.17, 108.35, 97.26, 86.56, 92.63, 109.66, 111.22]",90
10,22.011236496064576,0.8107720435388872,0.9754012588366107,49.500000000000014,1200,5000,"[0.32, 0.89, 3.52, 5.89, 9.07, 12.9, 16.05, 17.48, 17.95, 21.43, 28.61, 42.04, 61.25, 80.08, 97.74, 115.02, 131.97, 134.55, 123.35, 113.49, 110.99, 119.82, 127.12, 127.54, 127.5, 125.76, 123.23, 121.86, 121.8, 121.8, 121.34, 118.35, 114.08, 103.07, 88.85, 80.73, 88.26, 103.88, 115.67, 121.41, 115.99, 103.4, 92.11, 90.76, 103.04, 111.32, 110.26, 110.18, 110.19, 110.12]",90
12,20.270513089941574,0.7464301887831839,0.14466634381726462,52.422222222222224,600,5000,"[0.18, 1.74, 8.79, 17.29, 28.11, 46.06, 66.87, 86.39, 103.67, 120.71, 132.99, 137.18, 130.78, 117.13, 104.2, 91.3, 88.36, 100.63, 114.05, 119.66, 113.47, 99.75, 87.15, 84.6, 97.21, 111.41, 117.24, 110.33, 95.54, 82.47, 83.1, 98.02, 107.76, 107.37, 107.35, 107.12, 105.42, 102.47, 90.09, 71.82, 64.44, 65.96, 65.98, 66.05, 66.05, 66.07, 66.22, 67.24, 70.71, 74.35]",90
14,11.935339938017378,0.7448109379896866,0.207053299863586,62.94444444444445,500,5000,"[0.07, 3.46, 12.43, 24.32, 40.21, 59.33, 77.08, 95.59, 116.51, 135.48, 146.65, 143.63, 128.19, 111.85, 96.39, 84.27, 86.36, 99.56, 113.73, 114.99, 101.97, 86.41, 80.05, 88.55, 102.4, 111.53, 105.69, 91.97, 80.38, 80.9, 93.11, 106.93, 109.92, 98.95, 84.49, 77.03, 83.78, 97.34, 107.79, 105.54, 92.51, 78.46, 75.65, 87.26, 102.39, 108.08, 98.49, 83.94, 75.45, 81.85]",90
16,5.300753179458346,0.5083363084777968,0.9393964625018879,84.8,900,5000,"[0.22, 1.8, 4.89, 7.77, 12.77, 20.75, 30.81, 41.6, 50.87, 57.46, 70.94, 90.87, 110.12, 129.3, 148.79, 163.79, 166.32, 155.17, 139.09, 122.86, 109.16, 100.25, 98.39, 101.63, 106.32, 109.62, 110.36, 110.36, 110.36, 110.14, 109.68, 109.16, 108.43, 105.61, 102.04, 98.81, 96.85, 96.65, 96.65, 96.64, 96.64, 96.63, 96.63, 96.63, 96.62, 96.62, 96.56, 96.56, 96.55, 96.55]",90
18,11.008382300623992,0.41036154844236405,0.16466766644342767,54.12222222222223,900,5000,"[-0.12, -0.12, -0.12, 1.41, 6.17, 12.79, 18.7, 32.46, 52.84, 72.77, 93.4, 115.1, 136.54, 138.71, 123.74, 109.48, 95.69, 93.63, 105.17, 119.38, 123.85, 114.85, 101.25, 91.35, 92.62, 103.89, 116.34, 118.88, 109.08, 95.95, 88.1, 91.79, 102.12, 111.98, 113.81, 105.71, 94.3, 87.45, 89.33, 97.57, 105.68, 108.08, 104.18, 96.37, 89.45, 87.58, 91.42, 97.65, 102.32, 103.05]",90
20,13.726788476399335,0.3176986430198906,0.9235426067585578,28.222222222222225,500,5000,"[0.28, 0.39, 13.0, 32.95, 51.04, 67.77, 84.75, 103.24, 115.4, 106.87, 89.1, 80.49, 91.66, 108.89, 113.89, 101.21, 85.15, 80.75, 92.99, 109.32, 111.61, 97.78, 82.1, 80.22, 94.22, 110.09, 110.28, 94.9, 80.05, 80.79, 96.03, 110.71, 109.48, 93.52, 78.59, 80.7, 97.13, 110.96, 106.34, 89.78, 77.27, 83.51, 100.04, 109.53, 101.16, 85.71, 78.51, 87.5, 101.64, 107.12]",90
