experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
2,25.0,1.0,0.001,37.35555555555556,600,5000,"[-0.03, -0.03, 2.91, 12.82, 28.27, 46.61, 66.09, 85.58, 101.16, 116.7, 122.95, 114.69, 102.61, 94.56, 93.1, 92.97, 93.27, 94.1, 105.17, 121.61, 122.44, 112.84, 106.19, 97.18, 88.53, 86.1, 86.04, 88.4, 89.73, 99.35, 115.34, 119.41, 114.72, 106.23, 95.64, 88.01, 89.48, 100.52, 105.57, 103.03, 94.47, 82.41, 73.59, 68.06, 70.19, 80.49, 93.33, 106.82, 118.26, 123.62]",90
4,22.116177412913288,0.3733250295814039,0.5572784367682543,39.28888888888889,1000,5000,"[-0.09, -0.09, -0.09, -0.09, 0.85, 4.4, 8.4, 18.78, 34.26, 50.69, 68.62, 87.53, 107.55, 119.05, 117.73, 113.09, 101.99, 90.22, 82.52, 84.42, 95.75, 109.57, 115.36, 109.39, 100.12, 89.44, 94.49, 111.9, 117.58, 109.36, 96.88, 87.98, 98.58, 117.58, 125.36, 121.74, 118.14, 111.19, 101.4, 92.54, 89.52, 96.87, 106.43, 103.74, 91.82, 86.64, 96.19, 109.18, 117.16, 112.35]",90
6,24.659621804381327,0.14416173351648254,0.2035723118839925,28.59999999999999,500,4900,"[-0.23, 6.14, 18.89, 34.92, 54.93, 73.65, 92.68, 110.8, 115.74, 108.21, 99.06, 86.3, 79.86, 81.69, 92.21, 108.04, 113.2, 110.08, 102.66, 92.68, 85.55, 86.15, 94.64, 100.45, 94.62, 82.49, 83.45, 97.91, 105.05, 100.25, 90.18, 78.35, 72.57, 77.7, 90.37, 100.88, 99.85, 87.46, 80.22, 91.5, 110.08, 113.93, 106.08, 98.99, 88.46, 79.75, 76.67, 77.56, 82.46, 92.99]",90
8,24.653792079336252,0.1033864620316759,0.20715131441202217,32.17777777777777,500,5000,"[-0.21, 6.5, 18.4, 33.19, 51.97, 71.28, 92.13, 110.82, 115.18, 107.36, 98.08, 85.56, 80.28, 94.26, 109.21, 108.56, 98.27, 84.4, 79.88, 84.74, 91.92, 101.58, 98.57, 83.73, 80.6, 96.16, 107.96, 104.0, 96.99, 88.99, 81.98, 88.1, 102.34, 113.24, 118.96, 116.18, 106.66, 96.0, 84.47, 81.11, 91.99, 105.76, 110.84, 102.32, 91.64, 83.59, 84.73, 95.52, 101.65, 100.2]",90
10,24.659367481222265,0.14655290453644468,0.2033450121228406,30.15555555555556,600,5000,"[0.11, 5.24, 16.3, 25.13, 33.32, 44.51, 59.57, 74.6, 89.74, 106.36, 116.34, 117.14, 113.62, 109.08, 101.51, 88.53, 78.72, 78.95, 81.47, 94.68, 110.38, 111.29, 100.1, 85.09, 79.57, 84.24, 92.85, 104.39, 111.06, 105.64, 93.71, 83.67, 85.04, 98.02, 103.75, 99.96, 93.1, 84.37, 85.04, 96.42, 103.14, 102.33, 102.19, 102.18, 102.16, 102.15, 102.13, 102.12, 102.1, 102.09]",90
12,22.99607618607542,0.1322380130067996,0.15885944342471292,33.43333333333334,1100,4800,"[-0.07, 0.1, 0.41, 0.47, 0.47, 0.47, 0.66, 3.43, 6.54, 16.37, 36.43, 58.03, 76.57, 94.38, 111.37, 120.09, 119.63, 118.21, 117.93, 109.34, 96.39, 85.62, 87.01, 100.58, 108.87, 107.16, 105.16, 96.74, 83.96, 87.01, 104.02, 108.64, 98.59, 89.31, 85.44, 93.29, 105.59, 104.66, 90.29, 81.93, 82.37, 93.11, 111.47, 119.62, 116.73, 114.18, 106.71, 95.92, 87.49, 86.21]",90
14,9.110692235377655,0.3143879290806887,0.23128523303152548,61.077777777777776,1600,5000,"[0.04, 1.74, 6.69, 12.91, 18.42, 21.65, 22.32, 22.31, 22.3, 22.3, 22.77, 26.23, 32.35, 38.55, 42.39, 53.51, 71.86, 91.99, 112.28, 130.56, 144.97, 144.96, 133.31, 118.98, 106.89, 103.7, 111.04, 121.15, 127.78, 127.0, 120.51, 112.54, 106.36, 104.46, 105.68, 108.4, 109.75, 109.74, 109.74, 109.74, 109.73, 109.73, 109.73, 109.73, 109.39, 109.36, 109.36, 109.36, 109.3, 107.14]",90
16,6.368540844263322,0.6948456698298267,0.42844147966312207,62.32222222222222,500,2600,"[-0.23, 4.63, 17.85, 33.01, 47.4, 64.27, 84.57, 103.13, 120.45, 137.6, 146.09, 140.76, 128.9, 114.18, 100.43, 89.42, 85.06, 88.33, 95.46, 102.4, 106.95, 107.71, 106.06, 102.32, 98.08, 94.83, 93.74, 93.77, 93.77, 93.78, 93.79, 93.8, 93.81, 93.81, 93.82, 93.83, 93.84, 93.84, 93.85, 93.86, 93.86, 93.87, 93.88, 93.89, 93.89, 93.9, 93.9, 93.91, 93.91, 93.92]",90
18,11.630128938594472,0.48387443033413635,0.5497948134270305,76.51111111111113,1200,5000,"[0.05, 2.15, 8.19, 14.01, 17.67, 18.57, 18.56, 18.9, 21.92, 28.5, 35.64, 49.43, 68.4, 86.36, 105.32, 126.02, 144.37, 156.65, 158.86, 147.99, 134.24, 119.12, 102.59, 94.91, 102.47, 115.56, 123.52, 118.94, 108.26, 98.23, 94.02, 99.12, 107.39, 112.31, 110.74, 104.71, 98.88, 96.42, 96.93, 99.0, 100.04, 100.01, 99.99, 99.98, 99.97, 99.96, 99.95, 99.93, 99.92, 99.91]",90
20,6.3882981901697145,0.7367749202659516,0.4108133588653168,62.92222222222221,500,3800,"[0.02, 5.06, 17.01, 32.08, 46.95, 59.38, 73.02, 90.02, 106.04, 121.74, 137.74, 146.63, 142.46, 131.09, 117.03, 103.8, 92.35, 86.81, 89.33, 95.81, 102.21, 106.28, 106.88, 105.04, 101.94, 98.69, 96.6, 96.12, 96.13, 96.14, 96.15, 96.16, 96.17, 96.17, 96.18, 95.97, 95.63, 95.17, 94.28, 92.38, 90.17, 88.71, 88.47, 88.48, 88.49, 88.5, 88.51, 88.52, 88.53, 88.54]",90
