experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
1,25.0,0.0010000000474974513,1.0,24.22222222222222,500,5000,"[-0.04, -0.04, 7.09, 25.55, 46.48, 63.09, 77.81, 91.58, 100.64, 104.81, 104.9, 101.87, 99.16, 93.79, 84.91, 83.51, 92.96, 101.86, 105.17, 104.82, 100.9, 92.76, 82.74, 84.27, 96.9, 103.37, 100.86, 94.69, 85.99, 83.28, 91.64, 101.44, 106.84, 106.67, 100.69, 90.13, 78.81, 71.35, 75.72, 89.36, 100.93, 108.62, 106.43, 97.22, 86.81, 80.76, 90.8, 106.51, 111.8, 108.88]",90
2,12.0,0.1599999964237213,0.9399999976158142,24.233333333333334,600,5000,"[0.2, 4.19, 11.74, 22.45, 37.47, 52.55, 70.92, 89.71, 104.56, 111.81, 108.09, 99.14, 89.89, 86.1, 87.95, 93.87, 98.82, 100.29, 99.57, 98.37, 97.96, 97.97, 97.99, 98.01, 98.02, 98.04, 98.05, 98.06, 98.08, 98.09, 98.11, 98.12, 98.13, 98.11, 98.12, 98.13, 98.15, 98.16, 98.18, 98.2, 98.21, 98.22, 98.24, 98.25, 98.27, 98.28, 98.3, 98.31, 98.33, 98.34]",90
3,14.999999999999998,0.09999999403953552,1.0,28.055555555555557,600,3000,"[0.16, 4.31, 13.1, 21.83, 31.89, 42.23, 57.84, 78.97, 101.67, 114.71, 115.25, 113.47, 110.7, 108.87, 102.71, 92.46, 83.48, 83.01, 91.68, 101.12, 103.72, 99.01, 92.33, 86.71, 84.98, 89.74, 95.77, 97.92, 96.97, 95.23, 93.84, 93.46, 93.47, 93.47, 93.48, 93.48, 93.48, 93.49, 93.49, 93.49, 93.49, 93.5, 93.5, 93.5, 93.5, 93.51, 93.51, 93.52, 93.52, 93.52]",90
4,14.999999999999998,0.09999999403953552,0.24019559204723417,22.911111111111115,700,3300,"[0.21, 1.47, 5.04, 6.86, 18.15, 37.6, 54.53, 68.84, 81.81, 96.78, 110.62, 109.16, 95.85, 83.46, 81.07, 91.64, 104.58, 108.1, 99.17, 86.8, 81.48, 88.85, 100.41, 105.76, 102.17, 95.67, 89.25, 85.52, 86.84, 93.17, 98.85, 100.23, 97.57, 93.99, 91.14, 90.19, 90.25, 90.82, 91.26, 91.3, 91.3, 91.3, 91.3, 91.29, 91.29, 91.29, 91.29, 91.29, 91.29, 91.28]",90
5,18.0,0.18120162786971328,0.08639551415595137,25.33333333333333,600,5000,"[-0.0, 2.37, 8.05, 19.32, 34.7, 47.12, 57.12, 68.6, 84.64, 103.8, 112.8, 110.14, 108.37, 100.66, 89.12, 82.75, 89.56, 102.92, 108.31, 105.89, 100.61, 91.56, 85.31, 87.71, 97.05, 104.2, 103.19, 93.71, 84.75, 85.23, 95.41, 105.64, 104.75, 93.19, 80.46, 82.74, 98.55, 109.96, 111.82, 111.47, 109.43, 107.22, 105.86, 99.42, 87.83, 80.76, 86.82, 100.56, 106.43, 103.67]",90
6,18.25,0.3337647945292952,0.4713955195203694,28.633333333333326,500,4600,"[-0.11, 5.37, 16.99, 29.21, 44.98, 62.71, 80.35, 95.81, 108.17, 108.53, 97.34, 85.37, 85.83, 100.26, 112.61, 115.77, 115.07, 110.94, 106.46, 100.9, 92.82, 86.73, 88.19, 96.22, 102.92, 102.5, 95.7, 88.32, 86.13, 91.41, 99.09, 102.16, 98.16, 91.52, 86.95, 88.49, 95.13, 99.94, 99.73, 95.16, 89.47, 86.93, 89.82, 95.25, 97.77, 96.93, 94.48, 92.61, 92.03, 92.02]",90
7,21.75,0.10620162488948104,0.14674439671825273,29.26666666666667,600,5000,"[-0.13, 5.42, 17.6, 27.41, 36.95, 49.74, 66.06, 81.72, 98.01, 108.46, 106.64, 103.89, 95.71, 83.47, 82.75, 96.09, 106.82, 108.79, 107.63, 104.38, 101.71, 96.95, 88.02, 82.71, 87.09, 99.26, 102.03, 92.43, 81.56, 83.23, 97.72, 107.3, 105.71, 103.12, 101.46, 96.09, 85.17, 81.55, 91.09, 104.83, 114.36, 110.02, 93.49, 78.81, 67.68, 72.59, 90.63, 107.3, 116.01, 116.34]",90
8,19.625,0.2980840281145931,0.9338239712793334,29.099999999999998,400,5000,"[-0.15, 1.35, 14.57, 36.56, 59.29, 79.55, 98.38, 110.22, 112.95, 112.11, 108.78, 105.52, 98.63, 87.95, 84.32, 92.71, 104.81, 104.67, 92.96, 82.25, 85.48, 100.33, 106.99, 104.75, 97.56, 86.32, 82.49, 92.05, 105.8, 115.77, 116.19, 105.54, 90.96, 80.11, 84.64, 99.98, 107.04, 103.42, 94.11, 80.14, 80.64, 96.55, 107.8, 107.83, 106.22, 104.51, 103.88, 95.04, 79.28, 78.86]",90
9,18.46875,0.09999999403953552,0.8391119686147019,20.511111111111106,400,5000,"[-0.04, 7.73, 26.11, 47.28, 66.64, 84.98, 104.24, 108.46, 98.95, 89.97, 83.3, 85.44, 95.26, 103.0, 100.07, 92.01, 84.05, 83.38, 92.4, 102.8, 103.9, 94.83, 85.19, 82.09, 89.79, 100.6, 102.89, 96.74, 88.38, 83.14, 85.63, 94.83, 102.19, 99.24, 89.54, 80.89, 84.33, 97.42, 105.24, 105.51, 105.58, 105.58, 105.58, 105.57, 105.57, 105.56, 105.56, 105.55, 105.54, 105.54]",90
10,15.6875,0.08215961083218448,0.7123415722688918,23.122222222222224,500,2400,"[0.22, 6.31, 18.55, 29.6, 44.57, 63.78, 84.61, 104.39, 110.81, 105.56, 98.13, 88.48, 82.8, 85.56, 94.98, 102.6, 102.7, 95.49, 87.92, 83.69, 87.22, 94.64, 99.2, 97.49, 92.46, 88.77, 87.25, 87.52, 89.19, 90.63, 90.78, 90.78, 90.78, 90.79, 90.79, 90.79, 90.79, 90.79, 90.79, 90.79, 90.8, 90.8, 90.8, 90.81, 90.81, 90.81, 90.81, 90.81, 90.82, 90.82]",90
11,18.59375,0.6737647981055739,0.22158309645673996,25.777777777777782,500,5000,"[0.01, 6.31, 21.35, 37.62, 55.48, 72.74, 87.65, 99.57, 108.91, 112.04, 107.26, 99.65, 92.95, 93.65, 103.5, 111.95, 108.53, 93.89, 85.1, 93.93, 109.45, 113.2, 105.38, 96.03, 85.93, 86.92, 100.06, 109.6, 110.33, 110.26, 109.71, 109.32, 109.31, 108.98, 107.96, 106.46, 104.87, 103.84, 103.79, 103.79, 103.78, 103.77, 103.76, 103.72, 103.15, 101.9, 100.43, 99.35, 99.11, 99.09]",90
12,15.6875,0.19904201107706432,0.44803933202907653,26.222222222222214,500,4400,"[-0.04, 5.89, 18.92, 32.3, 49.05, 68.32, 87.96, 106.45, 113.6, 109.48, 102.11, 89.96, 83.04, 87.04, 97.21, 104.56, 103.24, 94.53, 84.89, 84.07, 93.13, 103.41, 105.49, 97.78, 87.28, 82.61, 89.24, 100.27, 104.23, 98.21, 89.43, 83.98, 87.3, 96.64, 102.95, 102.12, 95.13, 88.7, 85.5, 87.93, 94.29, 98.98, 98.95, 95.95, 92.93, 91.23, 91.07, 91.08, 91.08, 91.08]",90
