experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
1,24.249318275148774,0.30809466719366096,0.8899999856948853,22.322222222222226,400,5000,"[0.11, 7.69, 26.63, 46.66, 64.33, 81.97, 99.39, 108.39, 106.65, 103.24, 96.48, 87.14, 85.88, 96.72, 107.57, 110.09, 107.22, 101.1, 93.23, 84.71, 86.68, 99.55, 106.24, 103.28, 99.65, 94.59, 88.27, 84.89, 91.3, 101.88, 102.75, 89.89, 77.41, 74.65, 81.59, 97.21, 108.73, 107.08, 101.9, 94.25, 85.61, 84.44, 94.55, 104.22, 105.98, 104.31, 101.55, 93.55, 82.5, 83.79]",90
2,24.0,0.5299999713897705,0.845141968665301,25.34444444444445,400,5000,"[-0.22, 9.67, 29.08, 48.3, 64.89, 83.13, 102.64, 112.81, 110.96, 106.33, 101.88, 97.15, 91.55, 90.11, 96.12, 102.7, 102.7, 96.07, 88.2, 87.04, 96.16, 105.57, 109.43, 109.14, 104.11, 98.58, 93.45, 87.88, 87.43, 93.57, 99.85, 99.64, 93.03, 85.96, 86.64, 96.36, 103.24, 103.69, 103.26, 102.72, 102.71, 102.71, 102.71, 102.71, 102.71, 102.71, 102.71, 102.57, 101.68, 100.41]",90
3,24.0,0.35469511334410364,0.845141968665301,27.566666666666666,400,4900,"[0.05, 6.17, 24.91, 46.6, 66.49, 84.83, 104.53, 111.58, 100.34, 88.28, 83.85, 96.83, 112.83, 114.81, 106.89, 97.92, 90.17, 85.93, 92.55, 103.83, 111.74, 112.7, 103.38, 92.46, 84.41, 85.92, 98.4, 106.38, 104.19, 100.81, 95.29, 87.77, 84.48, 90.83, 100.89, 103.41, 98.46, 92.22, 85.46, 84.97, 94.15, 102.91, 105.07, 104.98, 102.36, 100.06, 94.28, 85.0, 82.01, 90.4]",90
4,15.0,0.02854484781883504,0.8461135797006124,23.08888888888889,400,2800,"[-0.04, 4.49, 19.87, 39.9, 59.19, 80.2, 100.36, 110.78, 109.26, 107.89, 101.72, 88.7, 78.81, 81.01, 93.14, 103.96, 105.35, 96.74, 87.05, 81.34, 83.15, 91.52, 98.9, 100.59, 96.68, 91.02, 86.37, 84.58, 86.77, 90.46, 92.12, 92.1, 92.09, 92.08, 92.08, 92.07, 92.06, 92.05, 92.04, 92.04, 92.03, 92.02, 92.01, 92.01, 92.0, 91.99, 91.98, 91.97, 91.97, 91.96]",90
5,12.249318275148775,0.2051176413959453,0.9338863916891581,24.122222222222213,600,5000,"[-0.09, 5.62, 16.86, 28.82, 42.57, 55.12, 71.57, 89.3, 103.6, 111.71, 109.08, 102.03, 94.26, 89.39, 88.82, 92.26, 96.25, 97.79, 97.79, 97.8, 97.81, 97.81, 97.82, 97.83, 97.83, 97.84, 97.85, 97.86, 97.87, 97.87, 97.88, 97.89, 97.9, 97.91, 97.91, 97.92, 97.92, 97.93, 97.94, 97.85, 97.25, 96.99, 96.9, 96.91, 96.92, 96.93, 96.93, 96.94, 96.94, 96.95]",90
6,24.0,0.35469511334410364,0.8907772745231344,18.333333333333332,400,5000,"[0.12, 6.34, 25.13, 46.46, 65.0, 82.64, 99.17, 106.5, 105.45, 105.35, 105.34, 105.34, 105.33, 105.32, 105.31, 105.31, 105.3, 105.29, 105.28, 105.27, 105.27, 105.26, 105.08, 103.99, 102.75, 102.59, 102.58, 102.57, 102.57, 102.56, 102.55, 102.54, 102.53, 102.52, 102.51, 102.49, 102.4, 102.38, 102.37, 102.37, 102.36, 102.09, 100.57, 98.66, 97.99, 92.51, 81.75, 78.83, 89.86, 101.47]",90
7,14.71273834863058,0.04914025297837815,0.9171091181196981,24.07777777777778,400,5000,"[-0.18, 3.32, 18.82, 38.22, 57.53, 79.1, 100.24, 111.62, 111.67, 110.53, 109.79, 109.79, 109.77, 109.76, 109.75, 109.73, 109.72, 109.7, 109.69, 109.68, 109.67, 109.65, 109.64, 109.62, 109.61, 109.6, 109.58, 109.57, 109.55, 109.54, 109.53, 109.51, 109.5, 109.49, 109.47, 109.46, 109.45, 109.43, 109.42, 109.41, 109.39, 109.38, 109.37, 109.35, 109.34, 109.33, 109.32, 109.3, 109.29, 109.28]",90
8,12.249318275148775,0.305170803665188,0.9338863916891581,28.44444444444444,500,5000,"[-0.24, 5.6, 17.9, 31.65, 46.65, 59.63, 75.68, 93.6, 108.31, 115.6, 111.06, 102.45, 94.96, 90.43, 91.65, 97.67, 103.15, 104.79, 102.66, 99.76, 97.32, 96.22, 96.22, 96.21, 96.21, 96.2, 96.2, 96.19, 96.19, 96.18, 96.17, 96.17, 96.16, 96.16, 96.15, 96.15, 96.14, 96.14, 96.13, 96.13, 96.12, 96.12, 96.11, 96.11, 96.1, 96.1, 96.09, 96.08, 96.08, 96.07]",90
9,24.249318275148774,0.1658783670084319,0.8899999856948853,19.222222222222218,400,5000,"[-0.22, 8.36, 26.79, 44.92, 60.37, 77.72, 96.26, 107.3, 107.26, 103.76, 99.98, 95.96, 89.85, 85.78, 88.78, 97.3, 101.03, 96.92, 88.94, 84.23, 89.89, 99.93, 101.54, 92.85, 82.86, 86.05, 100.45, 105.01, 98.1, 91.51, 84.95, 86.46, 96.87, 102.88, 101.92, 95.07, 83.94, 83.74, 97.11, 106.22, 103.21, 99.4, 93.81, 86.72, 84.87, 92.39, 101.46, 99.8, 87.35, 79.91]",90
10,12.249318275148775,0.305170803665188,0.8197817361040487,28.500000000000007,500,5000,"[-0.03, 5.68, 17.56, 31.16, 46.67, 60.36, 76.63, 94.1, 108.27, 115.65, 111.39, 102.3, 93.81, 89.33, 92.03, 97.78, 102.21, 103.34, 101.59, 99.32, 97.44, 96.51, 96.47, 96.46, 96.46, 96.45, 96.45, 96.45, 96.44, 96.44, 96.43, 96.43, 96.43, 96.42, 96.42, 96.42, 96.41, 96.41, 96.4, 96.4, 96.39, 96.39, 96.39, 96.38, 96.38, 96.37, 96.37, 96.36, 96.36, 96.36]",90
11,17.91924802195832,0.02854484781883504,0.8461135797006124,21.188888888888883,400,4900,"[0.08, 4.15, 19.2, 40.18, 61.56, 82.63, 103.67, 109.07, 99.84, 90.81, 83.65, 83.22, 90.72, 98.97, 101.28, 96.23, 88.52, 82.43, 83.84, 92.99, 102.1, 103.1, 95.82, 86.9, 81.73, 86.66, 96.89, 102.31, 99.67, 92.42, 84.68, 82.76, 89.98, 99.17, 101.57, 96.37, 88.96, 82.93, 84.25, 93.02, 100.06, 100.35, 94.39, 86.98, 82.86, 87.01, 94.94, 98.84, 97.61, 92.31]",90
12,12.249318275148775,0.0956309993998869,0.8197817361040487,23.777777777777782,600,5000,"[-0.29, 4.52, 14.33, 25.57, 39.21, 52.04, 69.15, 87.71, 102.96, 111.4, 106.77, 96.87, 86.53, 81.58, 86.79, 96.39, 103.56, 104.42, 99.0, 92.19, 87.45, 85.78, 88.37, 92.59, 94.74, 94.81, 94.8, 94.8, 94.79, 94.79, 94.78, 94.78, 94.77, 94.76, 94.76, 94.75, 94.75, 94.75, 94.74, 94.73, 94.73, 94.72, 94.72, 94.71, 94.71, 94.71, 94.7, 94.7, 94.69, 94.69]",90
