experiment_id,kp,ki,kd,overshoot,rise_time,settling_time,angle_values,set_point
1,25.0,0.44999998807907104,0.4000000059604645,26.32222222222222,400,5000,"[0.14, 10.58, 32.17, 55.08, 77.54, 98.35, 113.12, 113.69, 107.17, 99.23, 91.63, 86.8, 91.55, 101.69, 103.99, 97.31, 88.86, 85.43, 93.5, 104.16, 110.14, 109.12, 102.48, 93.17, 83.69, 85.24, 98.5, 105.25, 103.73, 101.22, 95.06, 86.61, 83.56, 91.98, 102.97, 109.84, 109.1, 102.03, 94.49, 87.75, 83.64, 87.13, 95.43, 98.38, 94.11, 87.38, 82.67, 86.86, 97.52, 100.68]",90
2,16.70823825251456,0.07878286833762554,0.7321416507139742,24.67777777777777,600,2900,"[-0.14, -0.12, 9.29, 25.07, 38.4, 50.2, 64.15, 81.41, 100.15, 110.93, 112.21, 111.44, 108.93, 106.64, 100.98, 92.64, 85.01, 82.58, 89.87, 99.46, 102.68, 98.85, 92.22, 86.46, 84.46, 89.03, 94.93, 97.04, 95.81, 93.43, 91.76, 91.45, 91.42, 91.41, 91.4, 91.38, 91.37, 91.36, 91.34, 91.33, 91.32, 91.31, 91.29, 91.28, 91.27, 91.26, 91.24, 91.23, 91.22, 91.21]",90
3,17.782400178870652,0.017471967006249645,0.735430327644482,20.233333333333327,700,3300,"[0.07, 2.75, 7.9, 16.34, 28.44, 37.66, 48.94, 66.07, 85.41, 103.47, 108.21, 102.67, 96.18, 88.6, 82.47, 83.78, 92.93, 101.42, 101.66, 95.59, 88.61, 82.87, 84.28, 92.88, 100.33, 100.57, 94.84, 87.87, 83.28, 85.47, 92.52, 97.82, 98.01, 93.87, 89.24, 86.14, 85.69, 88.79, 91.63, 91.84, 91.83, 91.82, 91.8, 91.79, 91.77, 91.76, 91.74, 91.73, 91.71, 91.7]",90
4,17.83383011218676,0.1983569034004541,0.7355877866188547,26.288888888888884,700,5000,"[0.11, 3.82, 9.99, 19.41, 31.77, 41.34, 52.69, 68.91, 88.81, 107.91, 113.66, 109.64, 102.85, 93.95, 87.32, 87.71, 95.17, 102.23, 103.17, 98.62, 93.39, 89.67, 89.47, 92.94, 95.94, 96.44, 96.44, 96.43, 96.44, 96.43, 96.43, 96.43, 96.43, 96.43, 96.43, 96.43, 96.43, 96.43, 96.43, 96.43, 96.43, 96.42, 96.42, 96.42, 96.42, 96.42, 96.42, 96.42, 96.42, 96.42]",90
5,15.861626092038684,0.25961512473583304,0.7355877866188547,28.644444444444446,500,5000,"[0.34, 7.48, 20.36, 32.74, 48.03, 66.96, 87.4, 107.12, 115.78, 114.65, 113.05, 111.54, 110.67, 110.68, 110.68, 110.68, 110.68, 110.68, 110.69, 110.69, 110.69, 110.69, 110.69, 110.69, 110.69, 110.69, 110.69, 110.69, 110.69, 110.38, 108.82, 106.86, 105.8, 105.78, 105.78, 105.78, 105.78, 105.79, 105.78, 105.78, 105.78, 105.77, 105.76, 105.76, 105.75, 105.74, 105.73, 105.72, 105.47, 104.72]",90
6,23.09243066677658,0.36459927166303885,0.4764111758798514,26.288888888888884,600,4700,"[-0.0, 2.03, 6.34, 15.53, 29.03, 44.4, 63.12, 83.43, 103.38, 113.55, 113.66, 110.15, 105.37, 98.98, 91.83, 90.76, 98.35, 105.64, 103.95, 96.75, 89.59, 88.62, 96.83, 105.86, 105.23, 97.53, 89.21, 86.85, 94.96, 105.85, 105.27, 95.04, 84.74, 86.31, 100.39, 108.54, 108.37, 106.32, 104.0, 103.08, 98.57, 90.99, 86.4, 89.58, 96.41, 99.38, 96.72, 91.86, 88.5, 88.39]",90
7,16.45624734775008,0.13260690492454824,0.7253552377616286,24.499999999999996,600,5000,"[-0.22, -0.22, 7.76, 22.85, 37.3, 51.92, 68.1, 85.17, 101.54, 110.81, 112.05, 111.88, 110.8, 110.5, 110.5, 110.5, 110.5, 110.49, 110.49, 110.49, 110.49, 110.48, 110.48, 110.48, 110.47, 110.4, 110.4, 110.4, 110.4, 110.39, 110.38, 110.37, 110.36, 110.34, 109.85, 108.67, 107.54, 106.98, 107.01, 107.0, 107.0, 107.0, 106.99, 106.99, 106.99, 106.99, 106.99, 106.99, 106.99, 106.99]",90
8,16.92110336988568,0.03331591040844473,0.7378743599598897,23.8,600,2300,"[0.18, 0.18, 8.58, 24.1, 38.3, 51.2, 64.9, 81.21, 98.85, 109.45, 111.42, 111.26, 109.18, 106.37, 104.42, 99.48, 91.76, 84.77, 83.22, 88.97, 95.5, 97.85, 95.69, 91.97, 89.21, 87.91, 87.88, 88.9, 89.0, 89.01, 89.01, 89.02, 89.02, 89.03, 89.03, 89.04, 89.05, 89.05, 89.06, 89.07, 89.08, 89.09, 89.09, 89.1, 89.11, 89.11, 89.12, 89.12, 89.13, 89.14]",90
9,24.82375983525255,0.14805468379112624,0.46121547107347505,16.45555555555556,500,5000,"[0.11, 7.8, 20.68, 34.2, 51.22, 69.09, 86.89, 102.07, 104.81, 96.48, 89.91, 85.46, 88.93, 97.87, 101.65, 97.18, 89.6, 84.04, 87.49, 97.93, 103.18, 102.63, 102.24, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.25, 102.24, 102.24, 102.24, 102.24, 102.24, 102.24, 102.24, 102.24, 102.24, 102.24, 102.23, 102.23]",90
10,23.57105881333918,0.12986670114257276,0.5050704550713578,23.055555555555557,400,5000,"[-0.1, 3.18, 18.53, 38.81, 59.17, 80.16, 101.9, 110.75, 105.77, 98.83, 91.72, 85.25, 85.83, 94.99, 103.0, 105.88, 106.6, 104.76, 102.74, 96.65, 87.64, 83.19, 89.45, 99.71, 101.57, 95.48, 88.11, 83.2, 87.62, 97.95, 102.13, 101.19, 96.51, 88.69, 83.16, 86.89, 97.25, 102.02, 100.84, 96.32, 88.78, 83.47, 86.82, 96.72, 101.4, 96.56, 88.3, 82.2, 86.31, 97.62]",90
11,15.60866200673793,0.0486207986759839,0.700971112192843,23.900000000000006,500,2000,"[0.29, 5.7, 15.49, 25.06, 41.04, 61.57, 82.62, 102.48, 111.51, 110.45, 108.58, 106.9, 101.9, 94.2, 86.84, 83.07, 86.12, 92.02, 95.48, 95.44, 94.1, 92.86, 92.45, 92.46, 92.47, 92.47, 92.48, 92.49, 92.49, 92.5, 92.51, 92.51, 92.52, 92.53, 92.53, 92.54, 92.55, 92.55, 92.56, 92.56, 92.57, 92.58, 92.58, 92.59, 92.59, 92.6, 92.61, 92.61, 92.62, 92.63]",90
